Name	Symbol	WURCS
O-acetyl	OAc	*OCC/3=O
O-D-alanyl	OAla	*OCC^RC/4N/3=O
O-(N-acetyl-D-alanyl)	OAla2Ac	*OCC^RNCC/6=O/4C/3=O
N-acetimidoyl	Am	*N=^XCC/3N
N-acetimidoyl-N-methyl	AmMe	*N=^XCC/3N/2C
"N-(N,N-dimethyl-acetimidoyl)"	AmMe2	*N=^XCNC/4C/3C
O-formyl	OFo	*OC=O
O-glycoryl	OGc	*OCCO/3=O
O-(N-acetyl-glutaminyl)	OGln2Ac	*OCC^XNCC/6=O/4CCCN/11=O/3=O
O-(N-methyl-5-glutamyl)	O5Glu2Me	*OCCCC^XCN/7=O/6NC/3=O
O-glycyl	OGly	*OCCN/3=O
O-glyceryl	OGr	*OCC^XCO/4O/3=O
"O-(2,3-di-O-methyl-glycaryl)"	"OGr2,3Me2"	*OCC^XCOC/4OC/3=O
O-4-hydroxybutyryl	O4Hb	*OCCCCO/3=O
"O-(3,4-dihydroxybutyryl)"	"O3,4Hb"	*OCCC^XCO/5O/3=O
O-(R)-3-hydroxybutyryl	O3RHb	*OCCC^RC/5O/3=O
O-(S)-3-hydroxybutyryl	O3SHb	*OCCC^SC/5O/3=O
O-lactyl	OLt	*OCC^XC/4O/3=O
O-methyl	OMe	*OC
amino	N	*N
N-acetyl	NAc	*NCC/3=O
N-glycoryl	NGc	*NCCO/3=O
N-sulfate	NS	*NSO/3=O/3=O
phosphate	P	*OPO/3O/3=O
O-pyruvyl	OPy	*OCCC/4=O/3=O
1-carboxyethylidene	Pyr	*OC^XO*/3CO/6=O/3C
sulfate	S	*OSO/3=O/3=O
tauryl	Tau	*NCCCSO/6=O/6=O
